행정구역,2020년04월_총인구수,Column1
부산광역시 남구 우암동(2629064500),13735,
부산광역시 남구 문현제1동(2629068000),14731,
부산광역시 남구 문현제2동(2629069000),8996,
부산광역시 남구 문현제3동(2629070000),14596,
부산광역시 남구 문현제4동(2629071000),9466,
부산광역시 북구 (2632000000),289059,
부산광역시 북구 구포제1동(2632051000),14976,
부산광역시 북구 구포제2동(2632052000),26653,
부산광역시 북구 구포제3동(2632052100),20729,
부산광역시 북구 금곡동(2632053000),39757,
부산광역시 북구 화명제1동(2632054100),43543,
부산광역시 북구 화명제2동(2632054200),15812,
부산광역시 북구 화명제3동(2632054300),30708,
부산광역시 북구 덕천제1동(2632055000),13254,
부산광역시 북구 덕천제2동(2632056000),12584,
부산광역시 북구 덕천제3동(2632056100),11304,
부산광역시 북구 만덕제1동(2632057100),12735,
부산광역시 북구 만덕제2동(2632057200),27603,
부산광역시 북구 만덕제3동(2632057300),19401,
부산광역시 해운대구 (2635000000),405268,
부산광역시 해운대구 우제1동(2635051000),23462,
부산광역시 해운대구 우제2동(2635052000),31288,
부산광역시 해운대구 우제3동(2635052500),28539,
